frame	value	stimulusOriginal	stimulusDecoded	decodeType	subject	assay	assayType	assayNum
1	0.320551813978539	no action	no action	original	m885	HAL01	HAL	1
2	0.105119574196776	mag lick  onset	no action	original	m885	HAL01	HAL	1
3	0.0533906018887245	mag lick  offset	no action	original	m885	HAL01	HAL	1
4	0.122549019607843	CS	no action	original	m885	HAL01	HAL	1
5	0.138888888888889	US	no action	original	m885	HAL01	HAL	1
6	0.12325615618745	no action	mag lick  onset	original	m885	HAL01	HAL	1
7	0.35205768166818	mag lick  onset	mag lick  onset	original	m885	HAL01	HAL	1
8	0.181524253802101	mag lick  offset	mag lick  onset	original	m885	HAL01	HAL	1
9	0.104030501089325	CS	mag lick  onset	original	m885	HAL01	HAL	1
10	0.0740740740740741	US	mag lick  onset	original	m885	HAL01	HAL	1
11	0.385047889758033	no action	mag lick  offset	original	m885	HAL01	HAL	1
12	0.474624266122242	mag lick  onset	mag lick  offset	original	m885	HAL01	HAL	1
13	0.701027799901392	mag lick  offset	mag lick  offset	original	m885	HAL01	HAL	1
14	0.346949891067538	CS	mag lick  offset	original	m885	HAL01	HAL	1
15	0.351851851851852	US	mag lick  offset	original	m885	HAL01	HAL	1
16	0.0807253878559634	no action	CS	original	m885	HAL01	HAL	1
17	0.0252297637471447	mag lick  onset	CS	original	m885	HAL01	HAL	1
18	0.0160048545530398	mag lick  offset	CS	original	m885	HAL01	HAL	1
19	0.417211328976035	CS	CS	original	m885	HAL01	HAL	1
20	0.0277777777777778	US	CS	original	m885	HAL01	HAL	1
21	0.0904187522200148	no action	US	original	m885	HAL01	HAL	1
22	0.0429687142656569	mag lick  onset	US	original	m885	HAL01	HAL	1
23	0.0480524898547427	mag lick  offset	US	original	m885	HAL01	HAL	1
24	0.00925925925925926	CS	US	original	m885	HAL01	HAL	1
25	0.407407407407407	US	US	original	m885	HAL01	HAL	1
1	0.55532777486414	no action	no action	shuffle	m885	HAL01	HAL	1
2	0.550995584674548	mag lick  onset	no action	shuffle	m885	HAL01	HAL	1
3	0.510752688172043	mag lick  offset	no action	shuffle	m885	HAL01	HAL	1
4	0.641798941798942	CS	no action	shuffle	m885	HAL01	HAL	1
5	0.579365079365079	US	no action	shuffle	m885	HAL01	HAL	1
6	0.106026061081129	no action	mag lick  onset	shuffle	m885	HAL01	HAL	1
7	0.128050451819146	mag lick  onset	mag lick  onset	shuffle	m885	HAL01	HAL	1
8	0.132616487455197	mag lick  offset	mag lick  onset	shuffle	m885	HAL01	HAL	1
9	0.0470899470899471	CS	mag lick  onset	shuffle	m885	HAL01	HAL	1
10	0.14973544973545	US	mag lick  onset	shuffle	m885	HAL01	HAL	1
11	0.221780571110622	no action	mag lick  offset	shuffle	m885	HAL01	HAL	1
12	0.179767997594518	mag lick  onset	mag lick  offset	shuffle	m885	HAL01	HAL	1
13	0.207885304659498	mag lick  offset	mag lick  offset	shuffle	m885	HAL01	HAL	1
14	0.188624338624339	CS	mag lick  offset	shuffle	m885	HAL01	HAL	1
15	0.168253968253968	US	mag lick  offset	shuffle	m885	HAL01	HAL	1
16	0.0524558207905921	no action	CS	shuffle	m885	HAL01	HAL	1
17	0.104978081628131	mag lick  onset	CS	shuffle	m885	HAL01	HAL	1
