subject	assay	assayType	assayNum	firingRateMean	firingRateMedian	firingRateStd	meanSpikesCell	syncActivityMean	syncActivityMax	fwhmMean
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
F887	MAG1	MAG	1	0.0127815682271528	0.0118696496654917	0.00560811385523964	35.5353159851301	3.43824185310409	21	NaN
M885	MAG1	MAG	1	0.0148812737074705	0.0132133419041497	0.0065237056797259	41.6705426356589	3.83936861652739	29	NaN
M886	MAG1	MAG	1	0.0156336753085846	0.0157649587961304	0.00527725407781751	43.6335877862595	4.09602293084916	30	NaN
F887	PAV1	PAV	1	0.0124719940253921	0.0116504854368932	0.00486541172580663	38.5384615384615	3.56699029126214	20	NaN
M885	PAV1	PAV	1	0.0151050520160468	0.013961038961039	0.00763140223921046	46.5235602094241	2.88506493506494	20	NaN
M886	PAV1	PAV	1	0.0151585489710991	0.0143285137423473	0.00567433771728748	46.5488721804511	4.03217402631236	29	NaN
F887	PAV2	PAV	2	0.0127221987711646	0.0114886731391586	0.00624974779600051	39.3115942028985	3.51132686084142	20	NaN
M885	PAV2	PAV	2	0.0139828921078921	0.0123376623376623	0.00756496292365393	43.0673076923077	2.90844155844156	24	NaN
M886	PAV2	PAV	2	0.0166299987058367	0.0161770415426427	0.00546092196439539	51.4	4.4900996505759	29	NaN
F887	PAV3	PAV	3	0.0122592084191261	0.0109677419354839	0.00591121564363637	38.0035460992908	3.45709677419355	22	NaN
M885	PAV3	PAV	3	0.0148811894331608	0.0132258064516129	0.00754155579820763	46.1316872427984	3.61612903225806	40	NaN
M886	PAV3	PAV	3	0.0166978491006278	0.0162306044277089	0.0053752628966044	51.4393939393939	4.40823216256573	29	NaN
F887	PAV4	PAV	4	0.0114214947484023	0.0103559870550162	0.00528904938794334	35.2924187725632	3.16375404530744	17	NaN
M885	PAV4	PAV	4	0.0131094423585037	0.0111111111111111	0.00715422082294602	40.1148936170213	3.08071895424837	22	NaN
M886	PAV4	PAV	4	0.0155611952994884	0.0151583564471393	0.0058065963053106	48.2490421455939	4.06147197316648	26	NaN
F887	PAV5	PAV	5	0.0109089320703383	0.00977198697068404	0.00567565359253173	33.4904214559387	2.84723127035831	25	NaN
M885	PAV5	PAV	5	0.0123741459906508	0.0103559870550162	0.00676241462949051	38.2361111111111	2.67281553398058	28	NaN
M886	PAV5	PAV	5	0.0163963787937997	0.0151426338413443	0.00623898330162792	50.35	4.26305848638791	27	NaN
F887	PAV6	PAV	6	0.0104498261570481	0.00938511326860841	0.00521062235099586	32.2899628252788	2.81100323624595	17	NaN
M885	PAV6	PAV	6	0.0114096141626398	0.0100323624595469	0.00652540941697245	35.2557077625571	2.49870550161812	22	NaN
M886	PAV6	PAV	6	0.0162004042721274	0.0157939299205419	0.00556475780634089	49.7482014388489	4.50371238765143	24	NaN
F139	MAG1	MAG	1	0.0136311905249392	0.0129487087259909	0.00427321699019392	37.8974358974359	3.7213150133084	26	NaN
F887	PAV7	PAV	7	0.0103309967387637	0.0087378640776699	0.00597116648331991	31.9227799227799	2.67572815533981	23	NaN
M885	PAV7	PAV	7	0.0116990152704438	0.0099025974025974	0.00692576328120432	36.032967032967	2.12922077922078	18	NaN
M886	PAV7	PAV	7	0.0163450998540751	0.0161770415426427	0.00479411274740813	50.5194346289753	4.62566325870325	26	NaN
F139	PAV1	PAV	1	0.0133802906275779	0.0122977346278317	0.00498857338388884	41.3450980392157	3.41197411003236	36	NaN
F887	PAV8	PAV	8	0.0113624557260921	0.0100649350649351	0.00566814085693844	34.9963636363636	3.12467532467532	24	NaN
M884	MAG1	MAG	1	0.0141144130865836	0.013617143266681	0.00505104857354696	39.3876811594203	3.89557801189708	26	NaN
M885	PAV8	PAV	8	0.0126884966205132	0.0109324758842444	0.00661845181799246	39.4612244897959	3.10868167202572	24	NaN
F139	PAV2	PAV	2	0.0137944431363315	0.0133870967741935	0.00449038000960733	42.7627737226277	3.77967741935484	32	NaN
F887	PAV9	PAV	9	0.0107428766089982	0.00938511326860841	0.00549359653515335	33.1954887218045	2.85760517799353	26	NaN
M884	PAV1	PAV	1	0.0129472174703455	0.0124983768341774	0.00531663102767823	39.8826086956522	2.97786001817946	23	NaN
M885	PAV9	PAV	9	0.0122626244122855	0.0106796116504854	0.00673697368017097	37.8915094339623	2.59967637540453	26	NaN
M886	PAV9	PAV	9	0.0145888747458957	0.0142505505894546	0.00515032940561451	45.0446096654275	3.92440730664594	31	NaN
F139	PAV3	PAV	3	0.0127928039702233	0.012258064516129	0.00452077650906484	39.6576923076923	3.32612903225806	34	NaN
F887	PAV10	PAV	10	0.0105436652590801	0.00938511326860841	0.00578334864428036	32.5799256505576	2.83624595469256	21	NaN
M884	PAV2	PAV	2	0.0121187472980023	0.0113253947709034	0.00559979141749267	37.4517766497462	2.38739321770645	19	NaN
M885	QEXT01	QEXT	1	0.0120441586461004	0.0100323624595469	0.00702318791502709	37.2164502164502	2.78220064724919	20	NaN
M886	PAV10	PAV	10	0.014821739787725	0.0146541617819461	0.00492169584335513	45.514598540146	4.06115670183666	29	NaN
F139	PAV4	PAV	4	0.0130218440563268	0.012987012987013	0.00428366074112402	40.1072796934866	3.3987012987013	29	NaN
F887	PAV11	PAV	11	0.0107571015888301	0.01	0.00525107390578894	33.3470149253731	2.88290322580645	26	NaN
M884	PAV3	PAV	3	0.00905806805496335	0.00816886681479545	0.00469835925287768	27.7213114754098	1.65762645405829	19	NaN
M885	QEXT02	QEXT	2	0.0115389100844676	0.00996784565916399	0.00664085959719042	35.8860103626943	2.22700964630225	15	NaN
M886	PAV11	PAV	11	0.0140807142025354	0.0135448916408669	0.00544958724320217	43.6614785992218	3.6187435500516	26	NaN
F139	PAV5	PAV	5	0.0128287666858274	0.0123778501628664	0.0043062453651866	39.3843137254902	3.27133550488599	27	NaN
F887	QEXT01	QEXT	1	0.00960582362948212	0.00879478827361563	0.00534910229625581	29.4898785425101	2.37263843648208	19	NaN
M884	PAV4	PAV	4	0.0111809708504997	0.0103546466476831	0.00592663996616086	34.5536723163842	1.97903184053844	19	NaN
M885	REN01	REN	1	0.0116591928251121	0.00974025974025974	0.00638920437939479	35.9103139013453	2.6	30	NaN
M886	PAV12	PAV	12	0.014240428616882	0.0136772176631497	0.00556617178648352	43.7295081967213	3.47466458251921	26	NaN
F139	PAV6	PAV	6	0.0135621283961767	0.0132686084142395	0.00406548140720487	41.906976744186	3.49902912621359	30	NaN
F887	QEXT02	QEXT	2	0.0113370829913581	0.0100649350649351	0.00581569091753719	34.9182156133829	3.04967532467532	30	NaN
M884	PAV5	PAV	5	0.0120560704350081	0.0112888659527803	0.00637562643487168	37.378640776699	2.48355050961166	20	NaN
M885	REN02	REN	2	0.0114428405281522	0.00964630225080386	0.00623711765770571	35.5872340425532	2.68906752411576	22	NaN
M886	QEXT01	QEXT	1	0.0151761249647983	0.0145593373883784	0.00533540635507191	46.9063670411985	4.05202536560114	22	NaN
F139	PAV7	PAV	7	0.0121207157258064	0.0119354838709677	0.0038007864146616	37.57421875	3.10290322580645	30	NaN
F887	REN01	REN	1	0.0105099620493359	0.00935483870967742	0.0050251438618117	32.5808823529412	2.85870967741936	27	NaN
M884	PAV6	PAV	6	0.0118957643123282	0.01078290419553	0.00577630208213875	36.4057971014493	2.46242321265194	20	NaN
M885	SCH01	SCH	1	0.0111910540915395	0.00954692556634304	0.00596382175301839	34.5803571428571	2.50679611650485	22	NaN
M886	QEXT02	QEXT	2	0.0155033794164364	0.0150780123246362	0.00519122509303543	47.2977099236641	4.06188540710633	30	NaN
F139	PAV8	PAV	8	0.0126256564141035	0.0125806451612903	0.00389365016456151	39.1395348837209	3.25741935483871	36	NaN
F887	REN02	REN	2	0.00977679697351829	0.00885245901639344	0.00495014533783298	29.8192307692308	2.54196721311475	24	NaN
M884	PAV7	PAV	7	0.0114617641156402	0.0103882612647708	0.00582871498181469	35.3068181818182	2.01727048435268	17	NaN
M885	SCH02	SCH	2	0.00885738539898133	0.00806451612903226	0.00448168927301982	27.4578947368421	1.68290322580645	28	NaN
M886	REN01	REN	1	0.0137838665080803	0.013265174064967	0.00510446167234404	42.6031746031746	3.47353436003624	28	NaN
F139	PAV9	PAV	9	0.0125134665838604	0.0123778501628664	0.00408753275507862	38.4163424124514	3.21596091205212	28	NaN
